(6000.000000, 3000.000000)
(5995.888672, 3157.007812)
(5983.565430, 3313.585449)
(5963.065430, 3469.303467)
(5934.442871, 3623.735107)
(5897.777344, 3776.457031)
(5853.169922, 3927.051025)
(5800.741211, 4075.104004)
(5740.636230, 4220.209961)
(5673.019531, 4361.971680)
(5598.076172, 4500.000000)
(5516.011719, 4633.916992)
(5427.050781, 4763.355469)
(5331.437500, 4887.960938)
(5229.434570, 5007.391602)
(5121.320312, 5121.320312)
(5007.391602, 5229.434570)
(4887.960938, 5331.437988)
(4763.355469, 5427.050781)
(4633.916992, 5516.011719)
(4500.000000, 5598.076172)
(4361.971680, 5673.019531)
(4220.209961, 5740.636719)
(4075.104004, 5800.741211)
(3927.050781, 5853.169922)
(3776.457275, 5897.777344)
(3623.734863, 5934.442871)
(3469.303467, 5963.065430)
(3313.585205, 5983.565430)
(3157.007812, 5995.888672)
(2999.999756, 6000.000000)
(2842.992188, 5995.888672)
(2686.414551, 5983.565430)
(2530.696777, 5963.065430)
(2376.264648, 5934.442383)
(2223.542969, 5897.777344)
(2072.948975, 5853.169434)
(1924.896118, 5800.741211)
(1779.789917, 5740.636230)
(1638.028198, 5673.019531)
(1499.999878, 5598.076172)
(1366.082886, 5516.011719)
(1236.644409, 5427.050781)
(1112.039062, 5331.438477)
(992.607910, 5229.434570)
(878.679688, 5121.320312)
(770.565674, 5007.391602)
(668.562500, 4887.961426)
(572.948730, 4763.355469)
(483.988281, 4633.916992)
(401.923828, 4500.000000)
(326.980469, 4361.971680)
(259.363525, 4220.209961)
(199.258545, 4075.103760)
(146.830566, 3927.051025)
(102.222656, 3776.457520)
(65.557129, 3623.734863)
(36.934814, 3469.303223)
(16.434326, 3313.585449)
(4.111572, 3157.008057)
(0.000000, 2999.999756)
(4.111572, 2842.991943)
(16.434326, 2686.414795)
(36.934814, 2530.696777)
(65.557373, 2376.264648)
(102.222656, 2223.542725)
(146.830322, 2072.949219)
(199.258545, 1924.896362)
(259.363770, 1779.789795)
(326.980469, 1638.028320)
(401.923828, 1500.000122)
(483.988281, 1366.083008)
(572.949219, 1236.643921)
(668.562256, 1112.038696)
(770.565674, 992.608154)
(878.679443, 878.679932)
(992.608521, 770.565430)
(1112.039062, 668.562012)
(1236.644775, 572.948730)
(1366.082642, 483.988281)
(1500.000244, 401.923584)
(1638.027954, 326.980469)
(1779.790039, 259.363770)
(1924.896729, 199.258545)
(2072.948730, 146.830566)
(2223.542969, 102.222412)
(2376.264160, 65.557373)
(2530.696533, 36.935059)
(2686.415039, 16.434326)
(2842.991699, 4.111572)
(3000.000000, 0.000000)
(3157.008545, 4.111572)
(3313.584961, 16.434326)
(3469.303711, 36.935059)
(3623.734375, 65.557129)
(3776.457031, 102.222656)
(3927.051270, 146.830566)
(4075.103516, 199.258545)
(4220.209961, 259.363770)
(4361.972168, 326.980713)
(4500.000000, 401.923584)
(4633.917480, 483.988525)
(4763.355469, 572.948730)
(4887.960938, 668.562012)
(5007.392090, 770.565674)
(5121.320312, 878.679443)
(5229.434570, 992.608276)
(5331.438477, 1112.039429)
(5427.050781, 1236.644043)
(5516.011719, 1366.083252)
(5598.076172, 1499.999512)
(5673.019531, 1638.028442)
(5740.636719, 1779.790527)
(5800.741211, 1924.895752)
(5853.169922, 2072.949219)
(5897.777344, 2223.543457)
(5934.442383, 2376.264648)
(5963.065430, 2530.697021)
(5983.565430, 2686.414062)
(5995.888672, 2842.992188)
