1
1000
53	68	68	63	-87	-96	49	29	-79	-46	-34	-60
-97	-56	34	26	9	-86	-40	-3	10	92	49	15
-25	-23	-15	-93	6	-6	34	-19	-37	78	85	-9
-80	4	83	40	-88	7	-61	-17	-50	-67	-85	18
66	-63	81	-67	9	-65	-31	89	13	-89	-25	40
53	-68	55	-13	-42	96	-66	33	55	81	64	-44
27	-14	-74	-98	-23	75	-20	-55	-29	8	67	-52
17	-61	-4	-88	22	8	47	-57	-19	0	43	5
65	-97	56	-33	-16	84	92	70	-16	99	42	-44
-75	49	-97	4	-94	-22	70	-11	-15	-45	12	5
26	37	76	-97	-60	-94	0	20	38	57	46	87
-38	-11	83	84	6	-8	-96	76	-36	74	-4	27
17	-3	-60	88	-10	41	-47	9	-90	-38	76	1
-17	-7	40	-76	-93	45	32	-34	18	76	-61	-47
36	43	22	-5	65	22	-44	29	-30	89	-86	9
-38	-17	-14	3	23	-52	4	95	-18	-29	-86	-40
60	36	7	70	96	19	57	-49	-26	-35	-8	-27
-86	46	-59	96	-61	-9	-34	56	51	83	-26	23
-29	7	-54	72	-8	37	16	82	26	-66	-27	71
-54	89	-55	70	100	-95	-22	16	74	12	11	51
-20	14	-75	68	-67	-79	55	-73	-31	-2	41	1
-55	-90	64	46	42	-88	-80	-96	-49	8	-96	30
51	-86	88	-47	50	54	-75	28	-73	24	-99	69
28	-25	20	-45	29	-59	-39	55	49	-41	49	72
-43	-42	25	25	-67	82	-3	-77	54	65	-25	84
-60	-47	85	-55	84	-76	-40	48	58	4	-64	-8
-89	24	-23	99	84	5	-78	60	-34	-82	-12	-50
3	-27	-59	78	5	-90	66	-78	-9	-20	-63	-93
63	20	-42	-8	-63	-68	-46	94	-56	-85	-62	-45
9	23	-79	99	-2	70	82	35	22	34	20	-81
-93	53	-76	-29	66	-12	38	-45	-47	-25	8	-70
-25	25	-18	65	-43	89	-13	71	-70	-98	56	-78
71	96	52	14	77	-53	48	-43	1	79	3	-44
-49	95	-88	-5	74	28	-43	28	-9	96	19	-97
-16	22	73	45	-36	-68	-39	-21	53	-12	5	93
47	-40	-65	29	-66	-90	38	-12	-9	89	0	89
-19	-19	-27	-83	84	38	21	-86	-89	61	-93	-50
-56	-74	9	-64	85	-41	-54	60	-83	-39	-21	18
-24	-87	-30	24	-69	22	0	-19	-54	1	-64	66
-42	-42	-73	68	15	6	-84	61	72	-62	16	98
62	-21	81	49	28	-39	38	-71	10	-16	31	-90
-100	-2	29	37	-65	-35	27	-90	31	-83	57	-19
-46	73	91	-83	3	37	-22	73	-99	-90	-88	37
100	52	-95	-56	79	-46	-52	20	68	66	51	-17
-24	-91	17	-19	97	-40	-52	43	23	-53	87	-39
-98	-39	100	62	60	-23	-3	-11	-41	-36	-29	75
88	-28	61	62	67	3	-84	55	93	30	93	62
3	85	42	-53	64	-39	65	7	58	16	-31	56
-46	-85	92	74	68	-57	-69	-57	93	66	-53	-72
-29	-7	67	75	31	66	-71	71	-39	-34	61	-85
-56	-10	-13	63	-43	28	-59	-21	65	-21	36	80
80	20	0	96	-22	46	30	12	-11	5	26	21
100	-26	71	16	0	-100	-80	-79	-92	-10	6	12
-41	-91	72	46	12	11	22	33	60	44	-81	73
31	8	-20	-3	-4	-7	29	13	-26	-66	-54	99
9	-58	10	-96	70	57	79	6	16	38	24	-6
30	99	40	0	-25	90	-36	-27	45	-51	23	15
13	100	57	60	45	91	68	12	-66	-34	-66	50
-81	-60	94	30	54	-60	80	-24	-53	-3	100	-39
82	59	-91	-72	-72	32	-49	-73	-12	0	-58	-62
-46	76	10	67	83	52	-48	-85	-62	97	-26	-22
58	18	73	72	83	38	-2	-14	35	52	53	-62
74	-52	-73	-9	74	99	45	61	-94	-16	-79	-65
-82	68	67	80	-54	88	-23	-26	32	64	60	-96
41	97	-41	-32	85	-16	39	16	-63	-44	-20	-78
-30	-87	100	-29	94	96	83	-42	-91	23	44	-50
7	97	33	78	-88	-11	36	-64	-73	-25	55	-35
-34	-16	-45	-32	-84	-54	31	-67	73	-87	25	7
53	-26	-94	-74	-66	14	-76	-27	99	68	55	-5
-41	-73	32	95	-78	15	-28	78	-25	31	-8	27
85	-68	-64	67	8	39	-15	-55	37	-45	-46	9
42	3	75	15	-59	71	-95	32	55	-73	86	-97
-99	-5	-48	16	26	-40	81	-42	6	33	-55	-60
78	-44	-43	55	-97	47	77	-21	-87	48	21	-15
-46	-76	72	-11	-19	58	74	93	-77	-74	62	90
31	-77	-91	-34	-54	-38	88	96	-26	0	28	-50
98	91	72	-78	5	0	30	-16	-85	71	-42	35
-41	-30	-84	64	-40	61	-17	-45	82	54	35	-59
-5	-10	60	-99	-14	-89	86	-44	35	-29	39	42
92	88	55	-24	95	48	-60	-71	33	30	16	-47
-55	-90	82	96	15	74	8	-10	-13	-57	-65	-46
-90	-44	61	-60	74	81	90	-85	46	-31	58	-89
-86	29	-4	14	63	-83	26	65	4	-67	6	15
-3	-10	-4	-18
